cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
INXXX321,7,CNS neuron,0,,,female_specific
INXXX370,7,,0,,,female_specific
INXXX381,7,sensory neuron,0,,,female_specific
INXXX401,7,,0,,,female_specific
INXXX402,7,,0,,,female_specific
INXXX427,7,sensory neuron,0,,,female_specific
INXXX436,7,,0,,,female_specific
INXXX440,7,,0,,,female_specific
INXXX464,7,CNS neuron,0,,,female_specific
LAL056,7,,0,,,female_specific
LAL059,7,,0,,,female_specific
LC31b,7,,0,,,female_specific
MNad05,7,efferent neuron,0,,,female_specific
MNad14,7,efferent neuron,0,,,female_specific
PS150,7,,0,,,female_specific
PVLP074,7,,0,,,female_specific
SA_DLV,7,sensory neuron,0,,,female_specific
SA_VTV_2,7,sensory neuron,0,,,female_specific
SAch02,7,sensory neuron,0,,,female_specific
SApp13,7,sensory neuron,0,,,female_specific
SApp19,7,sensory neuron,0,,,female_specific
SAppxx,7,sensory neuron,0,,,female_specific
SAxx01,7,sensory neuron,0,,,female_specific
SMP173,7,,0,,,female_specific
SMP319,7,,0,,,female_specific
SNpp34,7,sensory neuron,0,,,female_specific
Tm5Y,7,CNS neuron,0,,,female_specific
accessory_pharyngeal_nerve_sensory_group1,7,sensory neuron,0,,,female_specific
l-NSC-ITP,7,efferent neuron,0,,,female_specific
AN04B003,6,,0,,,female_specific
AN07B072,6,,0,,,female_specific
AN07B082,6,,0,,,female_specific
AN08B079,6,,0,,,female_specific
AN_3_None,6,,0,,,female_specific
AN_GNG_135,6,,0,,,female_specific
AN_GNG_137,6,,0,,,female_specific
AOTU039,6,,0,,,female_specific
CB.FB5B0,6,,0,,,female_specific
CB.FB8C2,6,,0,,,female_specific
CB0739,6,,0,,,female_specific
CB0959,6,,0,,,female_specific
CB0962,6,,0,,,female_specific
CB1038,6,,0,,,female_specific
CB1102,6,,0,,,female_specific
CB1198,6,CNS neuron,0,,,female_specific
CB1394,6,,0,,,female_specific
CB1496,6,,0,,,female_specific
CB1528,6,,0,,,female_specific
CB1580,6,,0,,,female_specific
CB1635,6,,0,,,female_specific
CB1760,6,,0,,,female_specific
CB1776,6,,0,,,female_specific
CB2213,6,,0,,,female_specific
CB2258,6,,0,,,female_specific
CB2384,6,,0,,,female_specific
CB2891,6,,0,,,female_specific
CB3283,6,,0,,,female_specific
CB3639,6,,0,,,female_specific
DM4_CX_p__0,6,,0,,,female_specific
DNg92,6,CNS neuron,0,,,female_specific
DNxn144,6,CNS neuron,0,,,female_specific
DVMn 1a-c,6,efferent neuron,0,,,female_specific
FB2D,6,,0,,,female_specific
FB3C,6,,0,,,female_specific
H2rn,6,CNS neuron,0,,,female_specific
IN01A061,6,sensory neuron,0,,,female_specific
IN01B016,6,sensory neuron,0,,,female_specific
IN02A044,6,,0,,,female_specific
IN02A049,6,,0,,,female_specific
IN03A026,6,,0,,,female_specific
IN03A036,6,,0,,,female_specific
IN03A037,6,,0,,,female_specific
IN03A051,6,,0,,,female_specific
IN03A073,6,glia,0,,,female_specific
IN03A077,6,,0,,,female_specific
IN03B021,6,,0,,,female_specific
IN03B054,6,,0,,,female_specific
IN03B090,6,,0,,,female_specific
IN04B029,6,,0,,,female_specific
IN04B054,6,,0,,,female_specific
IN04B080,6,,0,,,female_specific
IN04B081,6,glia,0,,,female_specific
IN04B091,6,,0,,,female_specific
IN04B101,6,,0,,,female_specific
IN05B065,6,,0,,,female_specific
IN06A066,6,,0,,,female_specific
IN06A070,6,,0,,,female_specific
IN06A083,6,,0,,,female_specific
IN06A085,6,,0,,,female_specific
IN06A098,6,,0,,,female_specific
IN06A108,6,,0,,,female_specific
IN06A119,6,,0,,,female_specific
IN06B028,6,,0,,,female_specific
IN06B080,6,,0,,,female_specific
IN06B087,6,,0,,,female_specific
IN07B007,6,,0,,,female_specific
IN07B087,6,glia,0,,,female_specific
IN07B098,6,,0,,,female_specific
IN08B070,6,,0,,,female_specific
IN09A012,6,CNS neuron,0,,,female_specific
IN09A071,6,CNS neuron,0,,,female_specific
IN09A092,6,,0,,,female_specific
IN11A022,6,,0,,,female_specific
IN11A025,6,,0,,,female_specific
IN11A028,6,,0,,,female_specific
IN11A040,6,,0,,,female_specific
IN11B004,6,,0,,,female_specific
IN12A057,6,,0,,,female_specific
IN12A061,6,,0,,,female_specific
IN12B029,6,,0,,,female_specific
IN13A001,6,,0,,,female_specific
IN13A002,6,,0,,,female_specific
IN13A003,6,,0,,,female_specific
IN13A005,6,CNS neuron,0,,,female_specific
IN13A006,6,,0,,,female_specific
IN13A007,6,,0,,,female_specific
IN13A008,6,,0,,,female_specific
